COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,YEAR,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,Ozone
San Bernardino,2019-2020,Total population,All ages,6.7,(5.1-8.3),2019,0.19367567567567567,0.04916216216216216,1.0050000000000001,0.390027027027027,0.04643243243243243,0.03956756756756757,0.16278378378378378,0.20243243243243245,0.5428108108108108,0.2378918918918919,0.09078378378378378,0.552027027027027,1.531837837837838,66.07317073170732
San Bernardino,2019-2020,Total population,All ages,6.7,(5.1-8.3),2020,0.30767307692307694,0.057269230769230774,1.0794615384615385,0.4188846153846154,0.07542307692307693,0.0498076923076923,0.1786346153846154,0.21200000000000002,0.5459807692307692,0.28744230769230766,0.10969230769230769,0.6068461538461538,1.6082500000000002,68.06976744186046
Shasta,2019-2020,Total population,All ages,14.4,(8.5-20.3),2019,0.038073170731707316,0.01717073170731707,0.2089268292682927,0.08107317073170732,0.0225609756097561,0.013585365853658538,0.05168292682926829,0.11056097560975611,0.11453658536585365,0.1477317073170732,0.05639024390243902,0.29653658536585364,0.3200731707317073,46.04
Shasta,2019-2020,Total population,All ages,14.4,(8.5-20.3),2020,0.09380000000000001,0.02162,0.25688,0.09966,0.05694,0.01884,0.057859999999999995,0.16306,0.16986,0.17828,0.0681,0.3547,0.4227,32.333333333333336
Tulare,2019-2020,Total population,All ages,15.5,(12.3-18.6),2019,0.2114255319148936,0.04636170212765958,1.0866595744680851,0.4217234042553192,0.1036595744680851,0.05234042553191489,0.15404255319148938,0.40619148936170213,0.6990000000000001,0.724,0.2762978723404255,0.9581914893617022,1.7683404255319148,47.38095238095238
Tulare,2019-2020,Total population,All ages,15.5,(12.3-18.6),2020,0.3627115384615385,0.04692307692307692,1.211,0.4699038461538461,0.1842692307692308,0.06669230769230769,0.16907692307692307,0.6465961538461538,1.3070384615384614,0.8114807692307693,0.30963461538461534,1.1048076923076924,2.4987500000000002,79.6923076923077
San Bernardino,2019-2020,Child vs. adult,0-17 years,5.5,(1.4-9.5),2019,0.19367567567567567,0.04916216216216216,1.0050000000000001,0.390027027027027,0.04643243243243243,0.03956756756756757,0.16278378378378378,0.20243243243243245,0.5428108108108108,0.2378918918918919,0.09078378378378378,0.552027027027027,1.531837837837838,66.07317073170732
San Bernardino,2019-2020,Child vs. adult,0-17 years,5.5,(1.4-9.5),2020,0.30767307692307694,0.057269230769230774,1.0794615384615385,0.4188846153846154,0.07542307692307693,0.0498076923076923,0.1786346153846154,0.21200000000000002,0.5459807692307692,0.28744230769230766,0.10969230769230769,0.6068461538461538,1.6082500000000002,68.06976744186046
Tulare,2019-2020,Child vs. adult,0-17 years,9.1,(3.5-14.6),2019,0.2114255319148936,0.04636170212765958,1.0866595744680851,0.4217234042553192,0.1036595744680851,0.05234042553191489,0.15404255319148938,0.40619148936170213,0.6990000000000001,0.724,0.2762978723404255,0.9581914893617022,1.7683404255319148,47.38095238095238
Tulare,2019-2020,Child vs. adult,0-17 years,9.1,(3.5-14.6),2020,0.3627115384615385,0.04692307692307692,1.211,0.4699038461538461,0.1842692307692308,0.06669230769230769,0.16907692307692307,0.6465961538461538,1.3070384615384614,0.8114807692307693,0.30963461538461534,1.1048076923076924,2.4987500000000002,79.6923076923077
Mariposa,2019-2020,Child vs. adult,18+ years,7.9,(4.6-11.1),2019,0.1066595744680851,0.024872340425531915,0.4853191489361702,0.18829787234042553,0.04778723404255319,0.028808510638297875,0.09434042553191489,0.21259574468085105,0.30025531914893616,0.305,0.1164255319148936,0.5402340425531914,0.777872340425532,59.76470588235294
Mariposa,2019-2020,Child vs. adult,18+ years,7.9,(4.6-11.1),2020,0.22951923076923078,0.034923076923076925,0.5370192307692307,0.20834615384615385,0.12242307692307691,0.03967307692307693,0.09526923076923076,0.33344230769230765,0.5495192307692307,0.36738461538461537,0.14013461538461539,0.57875,1.077923076923077,65.03846153846153
San Benito,2019-2020,Child vs. adult,18+ years,10.9,(6.0-15.8),2019,0.1404468085106383,0.5073829787234043,0.372063829787234,0.14446808510638298,0.06938297872340425,0.08263829787234042,0.5138085106382979,0.15106382978723404,0.6130425531914894,0.23651063829787233,0.09025531914893617,0.6744255319148936,0.979127659574468,45.833333333333336
San Benito,2019-2020,Child vs. adult,18+ years,10.9,(6.0-15.8),2020,0.25116,0.45454,0.46472,0.18032,0.10676000000000001,0.09038,0.49612,0.18004,0.66322,0.28464,0.10859999999999999,0.76934,1.12046,39.45454545454545
San Bernardino,2019-2020,Child vs. adult,18+ years,7.2,(5.6-8.8),2019,0.19367567567567567,0.04916216216216216,1.0050000000000001,0.390027027027027,0.04643243243243243,0.03956756756756757,0.16278378378378378,0.20243243243243245,0.5428108108108108,0.2378918918918919,0.09078378378378378,0.552027027027027,1.531837837837838,66.07317073170732
San Bernardino,2019-2020,Child vs. adult,18+ years,7.2,(5.6-8.8),2020,0.30767307692307694,0.057269230769230774,1.0794615384615385,0.4188846153846154,0.07542307692307693,0.0498076923076923,0.1786346153846154,0.21200000000000002,0.5459807692307692,0.28744230769230766,0.10969230769230769,0.6068461538461538,1.6082500000000002,68.06976744186046
Shasta,2019-2020,Child vs. adult,18+ years,12.8,(9.6-16.0),2019,0.038073170731707316,0.01717073170731707,0.2089268292682927,0.08107317073170732,0.0225609756097561,0.013585365853658538,0.05168292682926829,0.11056097560975611,0.11453658536585365,0.1477317073170732,0.05639024390243902,0.29653658536585364,0.3200731707317073,46.04
