ISO_A3,gas,trend_type,score_type,score
STP,co2,Recent changes,Weighted,0
GMB,co2,Recent changes,Weighted,16.0703285360595
GNB,co2,Recent changes,Weighted,1.04472116465003
GUM,co2,Recent changes,Weighted,96.2846665809547
MNP,co2,Recent changes,Weighted,0
PHL,co2,Recent changes,Weighted,5.44905519308997
SEN,co2,Recent changes,Weighted,1.52815671239157
SLE,co2,Recent changes,Weighted,-15.8579714697746
BGD,co2,Recent changes,Weighted,-9.64533674662985
BRN,co2,Recent changes,Weighted,0.968158635766157
HKG,co2,Recent changes,Weighted,50.6992144672914
IDN,co2,Recent changes,Weighted,6.61926757701215
KHM,co2,Recent changes,Weighted,1.42890518232357
LAO,co2,Recent changes,Weighted,73.1551670166331
MAC,co2,Recent changes,Weighted,0
MYS,co2,Recent changes,Weighted,29.8966754131807
PLW,co2,Recent changes,Weighted,0
THA,co2,Recent changes,Weighted,14.8313473779743
TLS,co2,Recent changes,Weighted,18.4811381352601
AUS,co2,Recent changes,Weighted,9.49051944940555
NFK,co2,Recent changes,Weighted,0
NZL,co2,Recent changes,Weighted,-10.1304747665829
PNG,co2,Recent changes,Weighted,8.49919024718625
SGP,co2,Recent changes,Weighted,81.8473003081733
VUT,co2,Recent changes,Weighted,-5.19601168065974
AIA,co2,Recent changes,Weighted,0
ATG,co2,Recent changes,Weighted,-1.41360324178933
BMU,co2,Recent changes,Weighted,0
BRB,co2,Recent changes,Weighted,0
CAN,co2,Recent changes,Weighted,-9.94649173801491
DMA,co2,Recent changes,Weighted,0
DOM,co2,Recent changes,Weighted,1.31427989671489
FSM,co2,Recent changes,Weighted,0
GLP,co2,Recent changes,Weighted,10.2103555713279
GRD,co2,Recent changes,Weighted,0
GUF,co2,Recent changes,Weighted,10.2103555713279
GUY,co2,Recent changes,Weighted,70.560620846274
KNA,co2,Recent changes,Weighted,0
LCA,co2,Recent changes,Weighted,0
MAF,co2,Recent changes,Weighted,-100
MTQ,co2,Recent changes,Weighted,10.2103555713279
NCL,co2,Recent changes,Weighted,-30.5871542750198
PRI,co2,Recent changes,Weighted,-15.4116415722078
SLB,co2,Recent changes,Weighted,-1.86746413018772
SPM,co2,Recent changes,Weighted,-100
SUR,co2,Recent changes,Weighted,-2.79097954137095
SXM,co2,Recent changes,Weighted,-100
TTO,co2,Recent changes,Weighted,-0.128035666059135
VCT,co2,Recent changes,Weighted,0
VEN,co2,Recent changes,Weighted,-10.1299598976619
VGB,co2,Recent changes,Weighted,0
VIR,co2,Recent changes,Weighted,-23.5427645507582
ABW,co2,Recent changes,Weighted,0
BHS,co2,Recent changes,Weighted,-5.62368942895299
COL,co2,Recent changes,Weighted,7.95915033087117
CUB,co2,Recent changes,Weighted,-4.26438559530626
CUW,co2,Recent changes,Weighted,0
CYM,co2,Recent changes,Weighted,0
HND,co2,Recent changes,Weighted,-3.80348564302865
HTI,co2,Recent changes,Weighted,-9.49876103182973
JAM,co2,Recent changes,Weighted,-27.6654437474524
NIC,co2,Recent changes,Weighted,-14.4663169801143
SLV,co2,Recent changes,Weighted,-13.7057014247569
TCA,co2,Recent changes,Weighted,84.3034724402366
BOL,co2,Recent changes,Weighted,-5.33706373707766
CRI,co2,Recent changes,Weighted,1.32341221820664
ECU,co2,Recent changes,Weighted,1.08795723087701
GTM,co2,Recent changes,Weighted,6.28950496603115
MEX,co2,Recent changes,Weighted,-0.852172190605282
PAN,co2,Recent changes,Weighted,2.23734634262474
PER,co2,Recent changes,Weighted,-2.29791046441791
BLZ,co2,Recent changes,Weighted,6.85254160949555
ARG,co2,Recent changes,Weighted,0.16662588361614
PRY,co2,Recent changes,Weighted,6.95601454868734
ASM,co2,Recent changes,Weighted,0
CHL,co2,Recent changes,Weighted,6.1493914460458
COK,co2,Recent changes,Weighted,0
KIR,co2,Recent changes,Weighted,-0.023843662589308
NIU,co2,Recent changes,Weighted,0
PYF,co2,Recent changes,Weighted,-1.410477985417
TON,co2,Recent changes,Weighted,-0.148629061766228
URY,co2,Recent changes,Weighted,1.36588117076086
WLF,co2,Recent changes,Weighted,0
WSM,co2,Recent changes,Weighted,0.850800788922664
SGS,co2,Recent changes,Weighted,-2.2824322082789
ESH,co2,Recent changes,Weighted,0.850100076858171
FLK,co2,Recent changes,Weighted,-4.1550299499189
D01,co2,Recent changes,Weighted,-20.0974314221359
D03,co2,Recent changes,Weighted,0
D04,co2,Recent changes,Weighted,-10.9819149161358
D05,co2,Recent changes,Weighted,-0.164252973708264
D06,co2,Recent changes,Weighted,0
D07,co2,Recent changes,Weighted,-97.5840598389684
D08,co2,Recent changes,Weighted,0
D09,co2,Recent changes,Weighted,4.27180758994863
D10,co2,Recent changes,Weighted,-0.483686322073812
D11,co2,Recent changes,Weighted,16.5694503101853
D12,co2,Recent changes,Weighted,0
D13,co2,Recent changes,Weighted,3.10617599645792
D14,co2,Recent changes,Weighted,39.9972915208616
D15,co2,Recent changes,Weighted,-31.1659639335559
D16,co2,Recent changes,Weighted,0
D17,co2,Recent changes,Weighted,0
D18,co2,Recent changes,Weighted,-26.8488412518322
D19,co2,Recent changes,Weighted,-54.5744724166655
D20,co2,Recent changes,Weighted,-11.1627701915527
TWN001,co2,Recent changes,Weighted,-1.11318957860583
