County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
Nevada,2019,Child vs. adult,18+ years,16.1,(11.6-20.5),6.299804672316384
Orange,2019,Child vs. adult,18+ years,14.3,(12.2-16.4),9.107763775342466
Placer,2019,Child vs. adult,18+ years,19.9,(15.3-24.4),7.20809133427762
Riverside,2019,Child vs. adult,18+ years,12.5,(10.5-14.4),4.67727062739726
Sacramento,2019,Child vs. adult,18+ years,18.6,(15.0-22.2),5.774376194444445
San Benito,2019,Child vs. adult,18+ years,18.8,(12.8-24.8),4.961618297752809
San Bernardino,2019,Child vs. adult,18+ years,14.3,(11.8-16.8),15.391920501369864
San Diego,2019,Child vs. adult,18+ years,15.7,(13.9-17.4),13.796374869688385
San Francisco,2019,Child vs. adult,18+ years,16.3,(13.0-19.7),7.711459540389972
San Joaquin,2019,Child vs. adult,18+ years,14.6,(10.8-18.4),9.287168785714286
San Luis Obispo,2019,Child vs. adult,18+ years,20.6,(11.3-29.9),7.0284843726027395
San Mateo,2019,Child vs. adult,18+ years,18.1,(13.9-22.2),7.028916630813954
Santa Barbara,2019,Child vs. adult,18+ years,11.0,(7.1-14.8),6.776553383561644
Santa Clara,2019,Child vs. adult,18+ years,16.2,(13.8-18.6),5.886988980769231
Santa Cruz,2019,Child vs. adult,18+ years,16.2,(11.7-20.8),6.504698509641873
Siskiyou,2019,Child vs. adult,18+ years,15.6,(12.0-19.3),5.863393243016761
Solano,2019,Child vs. adult,18+ years,26.9,(18.7-35.0),8.670733315642458
Sonoma,2019,Child vs. adult,18+ years,20.2,(14.7-25.8),5.723736790087464
Stanislaus,2019,Child vs. adult,18+ years,17.1,(13.3-21.0),7.990905917808219
Tehama,2019,Child vs. adult,18+ years,20.2,(13.1-27.2),5.475221498583569
Ventura,2019,Child vs. adult,18+ years,11.7,(9.0-14.3),7.25176875890411
Contra Costa,2019,Age groups,0-4 years,4.7,(0.3-9.2),6.917286345205479
Los Angeles,2019,Age groups,0-4 years,7.7,(3.8-11.6),10.71268641369863
Orange,2019,Age groups,0-4 years,2.6,(0.4-4.9),9.107763775342466
San Diego,2019,Age groups,0-4 years,5.2,(3.5-6.9),13.796374869688385
Alameda,2019,Age groups,5-17 years,20.5,(14.5-26.5),6.38212642739726
Butte,2019,Age groups,5-17 years,37.6,(17.7-57.6),8.08004949090909
Calaveras,2019,Age groups,5-17 years,24.7,(10.6-38.9),5.507528559171598
Colusa,2019,Age groups,5-17 years,19.2,(7.0-31.5),6.208393114754098
Contra Costa,2019,Age groups,5-17 years,11.8,(4.8-18.9),6.917286345205479
Fresno,2019,Age groups,5-17 years,13.4,(6.5-20.2),10.595683608219177
Inyo,2019,Age groups,5-17 years,24.7,(10.6-38.9),4.77628118630137
Kern,2019,Age groups,5-17 years,9.0,(3.6-14.3),6.568703652054794
Kings,2019,Age groups,5-17 years,37.6,(20.6-54.5),11.89956875890411
Los Angeles,2019,Age groups,5-17 years,14.7,(11.7-17.7),10.71268641369863
Madera,2019,Age groups,5-17 years,17.3,(1.9-32.8),9.728384293577982
Marin,2019,Age groups,5-17 years,27.8,(16.8-38.9),6.425785025495751
Merced,2019,Age groups,5-17 years,13.4,(1.2-25.5),9.227670866295265
Mono,2019,Age groups,5-17 years,24.7,(10.6-38.9),8.512718729281767
Monterey,2019,Age groups,5-17 years,16.3,(10.7-22.0),3.74429521369863
Orange,2019,Age groups,5-17 years,17.3,(12.9-21.7),9.107763775342466
Placer,2019,Age groups,5-17 years,11.6,(2.4-20.8),7.20809133427762
Riverside,2019,Age groups,5-17 years,13.4,(7.5-19.3),4.67727062739726
Sacramento,2019,Age groups,5-17 years,10.9,(4.8-17.1),5.774376194444445
San Bernardino,2019,Age groups,5-17 years,12.6,(6.2-19.1),15.391920501369864
San Diego,2019,Age groups,5-17 years,12.0,(8.5-15.5),13.796374869688385
San Francisco,2019,Age groups,5-17 years,16.5,(9.8-23.1),7.711459540389972
San Joaquin,2019,Age groups,5-17 years,22.5,(9.8-35.2),9.287168785714286
San Luis Obispo,2019,Age groups,5-17 years,3.2,(0.3-6.2),7.0284843726027395
San Mateo,2019,Age groups,5-17 years,18.4,(8.2-28.6),7.028916630813954
Santa Barbara,2019,Age groups,5-17 years,6.6,(1.4-11.9),6.776553383561644
Santa Clara,2019,Age groups,5-17 years,11.3,(5.2-17.4),5.886988980769231
Santa Cruz,2019,Age groups,5-17 years,11.5,(1.7-21.3),6.504698509641873
Solano,2019,Age groups,5-17 years,10.8,(3.1-18.6),8.670733315642458
Sonoma,2019,Age groups,5-17 years,6.7,(0.2-13.2),5.723736790087464
Stanislaus,2019,Age groups,5-17 years,19.1,(8.2-30.1),7.990905917808219
Tehama,2019,Age groups,5-17 years,19.2,(7.0-31.5),5.475221498583569
Ventura,2019,Age groups,5-17 years,16.1,(5.4-26.7),7.25176875890411
Alameda,2019,Age groups,18-64 years,14.3,(11.3-17.3),6.38212642739726
Butte,2019,Age groups,18-64 years,18.6,(12.4-24.9),8.08004949090909
Calaveras,2019,Age groups,18-64 years,29.2,(20.8-37.7),5.507528559171598
Colusa,2019,Age groups,18-64 years,21.8,(12.4-31.2),6.208393114754098
Contra Costa,2019,Age groups,18-64 years,20.3,(15.4-25.2),6.917286345205479
Fresno,2019,Age groups,18-64 years,23.7,(18.7-28.6),10.595683608219177
Inyo,2019,Age groups,18-64 years,29.2,(20.8-37.7),4.77628118630137
Kern,2019,Age groups,18-64 years,23.4,(18.0-28.8),6.568703652054794
Kings,2019,Age groups,18-64 years,17.2,(11.7-22.6),11.89956875890411
Los Angeles,2019,Age groups,18-64 years,15.5,(14.1-16.9),10.71268641369863
Madera,2019,Age groups,18-64 years,21.3,(14.0-28.6),9.728384293577982
Marin,2019,Age groups,18-64 years,19.0,(11.0-27.0),6.425785025495751
Mendocino,2019,Age groups,18-64 years,17.5,(10.0-25.1),6.025607581717452
Merced,2019,Age groups,18-64 years,23.9,(15.9-31.9),9.227670866295265
Mono,2019,Age groups,18-64 years,29.2,(20.8-37.7),8.512718729281767
Monterey,2019,Age groups,18-64 years,12.8,(7.9-17.7),3.74429521369863
