County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
San Diego,2017,Child vs. adult,0-17 years,10.7,(5.0-16.4),22.16030534351145
San Joaquin,2017,Child vs. adult,0-17 years,28.7,(2.8-54.5),28.747945205479454
Santa Clara,2017,Child vs. adult,0-17 years,13.5,(3.6-23.4),20.62962962962963
Sonoma,2017,Child vs. adult,0-17 years,14.7,(0.6-28.7),13.331506849315069
Butte,2017,Child vs. adult,18+ years,18.7,(11.3-26.0),22.15076923076923
Calaveras,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),16.58744394618834
Colusa,2017,Child vs. adult,18+ years,18.9,(10.0-27.9),24.005797101449275
Contra Costa,2017,Child vs. adult,18+ years,19.7,(14.9-24.6),16.868852459016395
El Dorado,2017,Child vs. adult,18+ years,17.9,(6.6-29.2),17.258160237388726
Fresno,2017,Child vs. adult,18+ years,20.5,(14.7-26.2),38.36164383561644
Glenn,2017,Child vs. adult,18+ years,18.9,(10.0-27.9),24.69705882352941
Humboldt,2017,Child vs. adult,18+ years,17.0,(10.6-23.4),18.080745341614907
Imperial,2017,Child vs. adult,18+ years,17.7,(9.2-26.1),54.86027397260274
Inyo,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),17.473972602739725
Kern,2017,Child vs. adult,18+ years,16.3,(10.3-22.4),30.370481927710845
Kings,2017,Child vs. adult,18+ years,15.2,(10.3-20.0),52.90958904109589
Lake,2017,Child vs. adult,18+ years,15.9,(8.0-23.8),12.828125
Los Angeles,2017,Child vs. adult,18+ years,14.5,(13.2-15.9),31.767123287671232
Madera,2017,Child vs. adult,18+ years,18.9,(11.6-26.2),34.16986301369863
Marin,2017,Child vs. adult,18+ years,15.1,(8.9-21.2),16.696428571428573
Mariposa,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),23.002923976608187
Mendocino,2017,Child vs. adult,18+ years,16.1,(7.4-24.7),12.610951008645532
Merced,2017,Child vs. adult,18+ years,17.6,(10.0-25.1),34.728813559322035
Mono,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),21.473972602739725
Monterey,2017,Child vs. adult,18+ years,15.3,(8.4-22.2),28.634349030470915
Orange,2017,Child vs. adult,18+ years,12.3,(9.2-15.5),26.74774774774775
Placer,2017,Child vs. adult,18+ years,15.5,(7.6-23.4),15.363372093023257
Riverside,2017,Child vs. adult,18+ years,15.5,(8.8-22.2),43.30958904109589
Sacramento,2017,Child vs. adult,18+ years,22.0,(17.4-26.7),21.797142857142855
San Benito,2017,Child vs. adult,18+ years,20.7,(0.5-41.0),18.924418604651162
San Bernardino,2017,Child vs. adult,18+ years,16.0,(12.4-19.6),25.175342465753424
San Diego,2017,Child vs. adult,18+ years,15.8,(13.2-18.5),22.16030534351145
San Francisco,2017,Child vs. adult,18+ years,13.7,(8.1-19.2),20.9
San Joaquin,2017,Child vs. adult,18+ years,21.4,(13.1-29.7),28.747945205479454
San Luis Obispo,2017,Child vs. adult,18+ years,15.4,(8.9-21.8),21.435616438356163
Santa Barbara,2017,Child vs. adult,18+ years,16.5,(3.8-29.1),23.421917808219177
Santa Clara,2017,Child vs. adult,18+ years,15.2,(11.6-18.8),20.62962962962963
Shasta,2017,Child vs. adult,18+ years,13.1,(5.8-20.4),15.46031746031746
Solano,2017,Child vs. adult,18+ years,22.7,(12.0-33.3),17.4
Sonoma,2017,Child vs. adult,18+ years,18.8,(8.6-28.9),13.331506849315069
Stanislaus,2017,Child vs. adult,18+ years,17.7,(9.3-26.1),29.6536312849162
Sutter,2017,Child vs. adult,18+ years,30.7,(19.3-42.1),20.687671232876713
Tehama,2017,Child vs. adult,18+ years,18.9,(10.0-27.9),19.5
Tulare,2017,Child vs. adult,18+ years,15.9,(9.5-22.4),46.315186246418335
Ventura,2017,Child vs. adult,18+ years,12.7,(7.9-17.4),24.495890410958904
Yolo,2017,Child vs. adult,18+ years,22.1,(10.9-33.4),21.09722222222222
Los Angeles,2017,Age groups,0-4 years,6.5,(1.2-11.7),31.767123287671232
Fresno,2017,Age groups,5-17 years,24.1,(4.7-43.6),38.36164383561644
Los Angeles,2017,Age groups,5-17 years,17.9,(12.3-23.5),31.767123287671232
Orange,2017,Age groups,5-17 years,13.6,(2.5-24.8),26.74774774774775
Riverside,2017,Age groups,5-17 years,20.5,(8.4-32.5),43.30958904109589
Sacramento,2017,Age groups,5-17 years,17.9,(3.0-32.7),21.797142857142855
San Bernardino,2017,Age groups,5-17 years,18.3,(4.9-31.7),25.175342465753424
San Diego,2017,Age groups,5-17 years,13.5,(6.3-20.6),22.16030534351145
San Joaquin,2017,Age groups,5-17 years,35.4,(5.2-65.6),28.747945205479454
Santa Clara,2017,Age groups,5-17 years,18.5,(5.2-31.7),20.62962962962963
Butte,2017,Age groups,18-64 years,19.6,(10.3-28.8),22.15076923076923
Calaveras,2017,Age groups,18-64 years,25.5,(9.7-41.4),16.58744394618834
Colusa,2017,Age groups,18-64 years,19.8,(10.2-29.5),24.005797101449275
Contra Costa,2017,Age groups,18-64 years,21.0,(15.1-26.8),16.868852459016395
El Dorado,2017,Age groups,18-64 years,19.7,(6.3-33.1),17.258160237388726
Fresno,2017,Age groups,18-64 years,21.2,(14.6-27.7),38.36164383561644
Glenn,2017,Age groups,18-64 years,19.8,(10.2-29.5),24.69705882352941
Humboldt,2017,Age groups,18-64 years,18.0,(9.9-26.1),18.080745341614907
Imperial,2017,Age groups,18-64 years,16.6,(6.9-26.4),54.86027397260274
Inyo,2017,Age groups,18-64 years,25.5,(9.7-41.4),17.473972602739725
Kern,2017,Age groups,18-64 years,16.7,(9.0-24.5),30.370481927710845
Kings,2017,Age groups,18-64 years,15.5,(9.1-22.0),52.90958904109589
Lake,2017,Age groups,18-64 years,14.6,(6.5-22.8),12.828125
Los Angeles,2017,Age groups,18-64 years,14.9,(13.3-16.5),31.767123287671232
Madera,2017,Age groups,18-64 years,19.3,(10.4-28.1),34.16986301369863
